email,password_hash,full_name,role,is_active,institution_id,created_at,updated_at,batch,branch
alok.ambani@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alok Ambani,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
amara.ambekar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amara Ambekar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
amit.amin@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amit Amin,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
amrita.anand@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amrita Anand,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
anand.ananthan@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Anand Ananthan,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
ananya.anantharaman@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ananya Anantharaman,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
aniket.ande@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aniket Ande,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
anika.anthony@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Anika Anthony,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
aniruddh.apte@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aniruddh Apte,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
anita.arcot@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Anita Arcot,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
ankush.arora@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ankush Arora,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
anoushka.arumugam@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Anoushka Arumugam,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
ansh.arya@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ansh Arya,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
anushka.asrani@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Anushka Asrani,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
apparao.athawale@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Apparao Athawale,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.Sc. Biochem
apoorva.avasthi@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Apoorva Avasthi,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
arindam.ayyangar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Arindam Ayyangar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
archana.ayyar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Archana Ayyar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
arjun.babbar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Arjun Babbar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
arpita.bachchan@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Arpita Bachchan,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
arnav.badami@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Arnav Badami,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
arya.bagchi@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Arya Bagchi,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
aryaman.bahadur@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aryaman Bahadur,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
ashwini.bahl@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ashwini Bahl,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
ashok.bajaj@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ashok Bajaj,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,B.Sc. Biochem
avani.bajpai@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Avani Bajpai,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
avinash.bakshi@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Avinash Bakshi,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
avantika.balakrishnan@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Avantika Balakrishnan,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
ayush.balamurugan@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ayush Balamurugan,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
bala.balasubramanian@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bala Balasubramanian,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
balaji.baliga@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Balaji Baliga,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
bhavana.bandopadhyay@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bhavana Bandopadhyay,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
bharat.banerjee@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bharat Banerjee,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
bhumika.bangera@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bhumika Bangera,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
bhavesh.bansal@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bhavesh Bansal,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,M.Sc. Maths
brinda.bapat@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Brinda Bapat,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
bhuvan.baradkar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Bhuvan Baradkar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
chaitali.baral@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Chaitali Baral,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
chetan.bardhan@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Chetan Bardhan,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
charu.barman@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Charu Barman,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
chaitanya.barot@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Chaitanya Barot,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
chhavi.basak@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Chhavi Basak,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
chirag.basu@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Chirag Basu,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
damini.batra@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Damini Batra,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
darshan.bawa@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Darshan Bawa,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,M.Sc. Maths
deepa.bedi@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Deepa Bedi,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
debashis.behl@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Debashis Behl,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
deepika.behera@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Deepika Behera,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
deepak.belavadi@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Deepak Belavadi,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
deepti.bendre@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Deepti Bendre,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
dev.benegal@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Dev Benegal,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
devangi.bhaduri@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Devangi Bhaduri,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
devendra.bhagat@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Devendra Bhagat,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
devina.bhagwat@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Devina Bhagwat,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
dhanush.bhalerao@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Dhanush Bhalerao,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,M.Sc. Maths
dhriti.bhalla@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Dhriti Bhalla,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
dhruv.bhandari@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Dhruv Bhandari,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
disha.bhanot@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Disha Bhanot,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
dilip.bharadwaj@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Dilip Bharadwaj,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
divya.bhargava@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Divya Bhargava,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
divyansh.bhasin@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Divyansh Bhasin,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
diya.bhatia@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Diya Bhatia,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
eeshan.bhatnagar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Eeshan Bhatnagar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
ekta.bhatt@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ekta Bhatt,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
gajendra.bhattacharya@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Gajendra Bhattacharya,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.E. CSE
garima.bhavsar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Garima Bhavsar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
ganesh.bhende@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ganesh Bhende,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
gauri.bhonsle@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Gauri Bhonsle,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
gautam.bhojwani@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Gautam Bhojwani,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
gayatri.bhuchar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Gayatri Bhuchar,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
girish.bindra@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Girish Bindra,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,B.E. CSE
