email,password_hash,full_name,role,avatar_url,is_active,department,institution_id,created_at,updated_at,batch,class,branch
aden.narlikar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aden Narlikar,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
aditi.ahuja@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aditi Ahuja,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
aditiya.narula@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aditiya Narula,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
adley.nasir@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adley Nasir,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
admin@janv.dev,"$argon2id$v=19$m=19456,t=2,p=1$4cBOIf/FRdiMlcb5CHu+pQ$QpPwP1Z6j0eWbmVbaCIa96n2DuG/Mr4jkIT69c+FtQg",Super Admin,super_admin,,t,,,2026-09-06 10:58:00.454279+00,2026-09-06 10:58:00.454279+00,,,
adriana.nathani@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adriana Nathani,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
adrian.natarajan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adrian Natarajan,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
adrienne.nathawat@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adrienne Nathawat,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
advait.ahluwalia@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Advait Ahluwalia,faculty,,t,BBA,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,,BBA
agastya.aiyer@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Agastya Aiyer,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
agatha.nautiyal@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Agatha Nautiyal,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
agnes.nayak@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Agnes Nayak,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
aidan.nayar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aidan Nayar,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
aileen.negi@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aileen Negi,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
ainsley.nerurkar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ainsley Nerurkar,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
akash.alam@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Akash Alam,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
akshara.alva@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Akshara Alva,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
alana.nihalani@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alana Nihalani,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alanna.nimbalkar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alanna Nimbalkar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alan.nigam@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alan Nigam,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,M.Sc. Maths
alberta.niyogi@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alberta Niyogi,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
albert.nischal@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Albert Nischal,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alec.oberoi@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alec Oberoi,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alejandro.padbidri@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alejandro Padbidri,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alena.padekar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alena Padekar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alexander.padmanabhan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alexander Padmanabhan,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alexandra.pai@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alexandra Pai,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alexandria.palande@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alexandria Palande,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alexis.palekar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alexis Palekar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alex.padgaonkar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alex Padgaonkar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.E. CSE
alfonso.palicha@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alfonso Palicha,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alfredo.panchal@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alfredo Panchal,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alfred.palkhivala@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alfred Palkhivala,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alice.panda@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alice Panda,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alicia.pande@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alicia Pande,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alina.pandit@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alina Pandit,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
alison.pandya@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alison Pandya,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
allan.panicker@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Allan Panicker,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,B.E. CSE
allen.panja@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Allen Panja,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
allie.panjwani@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Allie Panjwani,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
allison.pant@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Allison Pant,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
allyson.paranjape@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Allyson Paranjape,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alma.parashar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alma Parashar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alok.ambani@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alok Ambani,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
alonso.parekh@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alonso Parekh,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
aloysius.pardeshi@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aloysius Pardeshi,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alton.parelkar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alton Parelkar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alva.parikh@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alva Parikh,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alvaro.parmar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alvaro Parmar,student,,t,B.E. CSE,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2028,,B.E. CSE
alvina.parthasarathy@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alvina Parthasarathy,student,,t,M.Tech. DS,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,M.Tech. DS
alyssa.parulekar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Alyssa Parulekar,student,,t,M.Tech. DS,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,M.Tech. DS
amanda.pasricha@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amanda Pasricha,student,,t,M.Tech. DS,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,M.Tech. DS
amara.ambekar@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amara Ambekar,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
amber.paswan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Amber Paswan,student,,t,M.Tech. DS,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,M.Tech. DS
ambrose.patankar@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ambrose Patankar,student,,t,M.Tech. DS,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,M.Tech. DS
